#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
ibite.lol,suspend,False,False,,False
iddqd.social,suspend,False,False,,False
incitter.vip,suspend,False,False,,False
intkos.link,suspend,False,False,,False
jorts.horse,suspend,False,False,,False
justicewarrior.social,suspend,False,False,,False
kawa-kun.com,suspend,False,False,,False
kinktroet.social,suspend,False,False,,False
kinky.business,suspend,False,False,,False
kinkyelephant.com,suspend,False,False,,False
kitsunemimi.club,suspend,False,False,,False
kiwifarms.cc,suspend,False,False,,False
kommunismus.social,suspend,False,False,,False
kompost.cz,suspend,False,False,,False
kurosawa.moe,suspend,False,False,,False
ladies.community,suspend,False,False,,False
leafposter.club,suspend,False,False,,False
leftist.network,suspend,False,False,,False
leftychan.net,suspend,False,False,,False
lesbianschool.com,suspend,False,False,,False
lewdieheaven.com,suspend,False,False,,False
liberal.lgbt,suspend,False,False,,False
liberdon.com,suspend,False,False,,False
ligma.pro,suspend,False,False,,False
lolicon.rocks,suspend,False,False,,False
lolison.top,suspend,False,False,,False
lovingexpressions.net,suspend,False,False,,False
mahodou.moe,suspend,False,False,,False
makemysarcophagus.com,suspend,False,False,,False
maladaptive.art,suspend,False,False,,False
marsey.moe,suspend,False,False,,False
masochi.st,suspend,False,False,,False
mastinator.com,suspend,False,False,,False
mastobate.social,suspend,False,False,,False
mastodon.yurialbuquerque.dev,suspend,False,False,,False
meow.lgbt,suspend,False,False,,False
merovingian.club,suspend,False,False,,False
midwaytrades.com,suspend,False,False,,False
mirr0r.city,suspend,False,False,,False
moa.st,suspend,False,False,,False
mouse.services,suspend,False,False,,False
mugicha.club,suspend,False,False,,False
mycub.space,suspend,False,False,,False
narrativerry.xyz,suspend,False,False,,False
natehiggers.online,suspend,False,False,,False
natter.wtf,suspend,False,False,,False
neckbeard.xyz,suspend,False,False,,False
needs.vodka,suspend,False,False,,False
neenster.org,suspend,False,False,,False
net4sw.com,suspend,False,False,,False
nicecrew.digital,suspend,False,False,,False
nnia.space,suspend,False,False,,False
noagendasocial.com,suspend,False,False,,False
noagendasocial.nl,suspend,False,False,,False
noagendatube.com,suspend,False,False,,False
nobodyhasthe.biz,suspend,False,False,,False
node1.mastodong.net,suspend,False,False,,False
nukem.biz,suspend,False,False,,False
obo.sh,suspend,False,False,,False
onionfarms.org,suspend,False,False,,False
onlypa.ws,suspend,False,False,,False
pawlicker.com,suspend,False,False,,False
pawoo.net,suspend,False,False,,False
pedo.school,suspend,False,False,,False
piazza.today,suspend,False,False,,False
pibvt.net,suspend,False,False,,False
pieville.net,suspend,False,False,,False
pisskey.io,suspend,False,False,,False
plagu.ee,suspend,False,False,,False
pmth.us,suspend,False,False,,False
poa.st,suspend,False,False,,False
poast.org,suspend,False,False,,False
poast.tv,suspend,False,False,,False
poster.place,suspend,False,False,,False
prospeech.space,suspend,False,False,,False
quodverum.com,suspend,False,False,,False
r18.social,suspend,False,False,,False
radicalsocial.work,suspend,False,False,,False
radikal.social,suspend,False,False,,False
rakket.app,suspend,False,False,,False
rapemeat.solutions,suspend,False,False,,False
rdrama.cc,suspend,False,False,,False
rebelbase.site,suspend,False,False,,False
retardedniggers.forsale,suspend,False,False,,False
rojogato.com,suspend,False,False,,False
ryona.agency,suspend,False,False,,False
schwartzwelt.xyz,suspend,False,False,,False
seal.cafe,suspend,False,False,,False
shigusegubu.club,suspend,False,False,,False
shitpost.cloud,suspend,False,False,,False
shota.house,suspend,False,False,,False
silliness.observer,suspend,False,False,,False
skinheads.eu,suspend,False,False,,False
skinheads.io,suspend,False,False,,False
skinheads.social,suspend,False,False,,False
skinheads.uk,suspend,False,False,,False
skippers-bin.com,suspend,False,False,,False
skyshanty.xyz,suspend,False,False,,False
slash.cl,suspend,False,False,,False
sleepy.cafe,suspend,False,False,,False
smuglo.li,suspend,False,False,,False
smutlandia.com,suspend,False,False,,False
sneed.social,suspend,False,False,,False
social.rebellion.global,suspend,False,False,,False
socialism.social,suspend,False,False,,False
sonichu.com,suspend,False,False,,False
spinster.xyz,suspend,False,False,,False
springbo.cc,suspend,False,False,,False
starnix.network,suspend,False,False,,False
strelizia.net,suspend,False,False,,False
subversive.zone,suspend,False,False,,False
syspxl.xyz,suspend,False,False,,False
tastingtraffic.net,suspend,False,False,,False
teci.world,suspend,False,False,,False
theapex.social,suspend,False,False,,False
thepostearthdestination.com,suspend,False,False,,False
theres.life,suspend,False,False,,False
thicc.horse,suspend,False,False,,False
threads.net,suspend,False,False,,False
threads.instagram.com,suspend,False,False,,False
tkammer.de,suspend,False,False,,False
tranny.town,suspend,False,False,,False
transformacion.social,suspend,False,False,,False
trumpislovetrumpis.life,suspend,False,False,,False
truthsocial.co.in,suspend,False,False,,False
urchan.org,suspend,False,False,,False
uwu.town,suspend,False,False,,False
varishangout.net,suspend,False,False,,False
very.bignutty.xyz,suspend,False,False,,False
whinge.house,suspend,False,False,,False
whinge.town,suspend,False,False,,False
wideboys.org,suspend,False,False,,False
wolfgirl.bar,suspend,False,False,,False
woof.tech,suspend,False,False,,False
woofy.social,suspend,False,False,,False
xn--p1abe3d.xn--80asehdb,suspend,False,False,,False
xn--ratatskr-r4a.de,suspend,False,False,,False
xno.social,suspend,False,False,,False
yggdrasil.social,suspend,False,False,,False
youjo.love,suspend,False,False,,False
zhub.link,suspend,False,False,,False
zztails.gay,suspend,False,False,,False
